area	group	number	pct
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
ia	Chronically absent	100000	
txt	Chronically absent	5300000	0.256
