combokey	school_size	size_cat	student_abs	teach_abs
10000201705	very large	4	0	0.17241
10000201706	very large	4	0	0.19048
10000299995	very large	4	0	0.33333
10000500870	very large	4	0.11654	0.47051
10000500871	very large	4	0.22262	0.39099
10000500879	very large	4	0.2	0.33961
10000500889	very large	4	0.1788	0.36709
10000502150	very large	4	0.19323	0.44487
10000600193	medium-large	3	0.22695	0
10000600872	medium-large	3	0.20794	0
10000600876	small	1	0.07292	0
10000600877	medium-large	3	0.17573	0.37125
10000600878	medium-large	3	0.25818	0
10000600880	medium-small	2	0.02991	0.16
10000600883	medium-large	3	0.01417	0
10000600887	medium-small	2	0.35323	0.40439
10000601413	medium-large	3	0.18864	0.05263
10000601434	medium-small	2	0.15589	0
10000601585	medium-small	2	0.23219	0
10000601685	medium-large	3	0.2	0.45161
10000601812	medium-large	3	0.21538	0.44
10000602209	medium-large	3	0.19336	0.15907
10000700091	medium-large	3	0.06061	0.58745
10000700248	medium-large	3	0.04745	0.46575
10000700251	very large	4	0.11389	0.3612
10000700337	very large	4	0.08876	0.40144
10000700342	very large	4	0.05288	0.30023
10000701422	very large	4	0.05023	0.25891
10000701456	very large	4	0.12531	0.36898
10000701483	very large	4	0.04818	0.41667
10000701738	very large	4	0.0378	0.40476
10000701739	medium-large	3	0.09234	0.17857
10000701740	medium-large	3	0.05763	0.30597
10000701741	very large	4	0.07547	0.6752
10000701742	medium-large	3	0.09201	0.61203
10000701743	medium-small	2	0.09763	0.32407
10000702091	very large	4	0.0418	0.2381
10000702186	very large	4	0.0358	0.35349
10000800303	very large	4	0	0.07243
10000800495	very large	4	0.08774	0.43678
10000800831	very large	4	0.27145	0.39791
10000800839	medium-large	3	0.04034	0.43103
10000800851	medium-large	3	0	0.51515
10000801423	very large	4	0.06667	0.34863
10000801485	very large	4	0.11392	0.32751
10000801798	very large	4	0.06507	0.44885
10000802097	very large	4	0.13464	0.39807
10000802133	very large	4	0.083	0.40883
10000899999	very large	4	0.07009	0.79747
10000901403	small	1	0.02632	0.02564
10000901404	small	1	0.01923	0.09677
10000901405	small	1	0.04651	0.10714
10001102094	very large	4	0.02833	0
10001102095	medium-large	3	0.00357	0
10001102096	medium-large	3	0.01325	0
10001200123	medium-large	3	0.08351	0.59524
10001200874	medium-large	3	0.19199	0.44687
10001200884	medium-small	2	0.05128	0.38506
10001201630	medium-small	2	0.08672	0.55276
10001201781	medium-small	2	0.16129	0.5852
10001300714	very large	4	0.07677	0.46018
10001301498	very large	4	0.06584	0.34188
10001301502	very large	4	0.10801	0.24578
10001301682	very large	4	0.11271	0.38119
10001802104	medium-small	2	0.02616	0.11111
10002001831	small	1	0	0
10002101832	small	1	0	0.25
10002299999	small	1	0	0
10002301834	small	1	0	0
10002401835	small	1	0	0
10002601837	small	1	0	0
10003000001	medium-large	3	0.106	0.81481
10003000003	very large	4	0.16581	0.66667
10003000004	very large	4	0.12483	0.35088
10003000005	medium-large	3	0.09231	0.54286
10003000006	medium-large	3	0.07399	0.58621
10003302119	small	1	0	0.66667
10003302123	small	1	0	0.4
10003501846	small	1	0	0
10003502105	small	1	0	0
10003599999	small	1	0	1
10003699999	small	1	0	0
10003801849	small	1	0	0
10003901850	small	1	0	0
10004101852	small	1	0.18605	0
10004201853	small	1	0	0.14286
10004301854	small	1	0.4	0
10004401855	small	1	0	0
10006000007	medium-large	3	0.10438	0.34848
10006000008	medium-large	3	0.13221	0.16
10006001467	very large	4	0.11995	0.34426
10009000011	medium-large	3	0.0496	0.66179
10009000015	small	1	0	0.15385
10009000017	small	1	0	0.95238
10009000020	medium-small	2	0.09565	0.62026
10009000021	medium-small	2	0.03425	0.14286
10009001246	small	1	0	0
10009001725	medium-large	3	0.03023	0.85663
10009001782	small	1	0.03774	0.3
10010000022	medium-large	3	0.00942	0.38126
10010000025	medium-large	3	0.07597	0.25581
10010000027	medium-large	3	0.13884	0.29618
10010000028	very large	4	0.18706	0.2694
10012000522	medium-large	3	0.10097	0.43103
10012001471	medium-small	2	0.17134	0.69606
10012001472	very large	4	0.00459	0.41441
10012001473	medium-large	3	0.08949	0.52103
10012001474	medium-small	2	0.08333	0.18824
10012001475	medium-small	2	0.07712	0.26975
10012001758	medium-small	2	0.07962	0.46041
10017802113	small	1	0	0.14286
10018000032	medium-large	3	0.17143	0.39615
10018000033	very large	4	0.57671	0.43615
10018000034	medium-large	3	0.1332	0.9633
10018102116	small	1	0	0
10018302114	small	1	0	0
10018402115	small	1	0	0
10018500893	very large	4	0.01576	0.10285
10018500952	very large	4	0.00793	0.24166
10018502137	very large	4	0.04093	0.20816
10018802193	medium-large	3	0.46458	0.06431
10018802194	medium-small	2	0.42051	0.10753
10019001182	very large	4	0.09339	0.35593
10019001183	very large	4	0.19072	0.35714
10019001184	very large	4	0.09887	0.32075
10019001460	very large	4	0.01544	0.35507
10019001815	very large	4	0.08324	0.39706
10019002149	medium-large	3	0.08008	0.58333
10021000036	very large	4	0.15327	0.50515
10021000037	very large	4	0.07621	0.38356
10021000039	medium-large	3	0.08918	0.4
10021000040	medium-large	3	0.0989	0.3
10021000041	very large	4	0.09061	0.42254
10021000042	medium-large	3	0.07469	0.3
10021000053	medium-large	3	0.06638	0.4375
10021001254	medium-large	3	0.04505	0.34483
10021001259	medium-large	3	0.07569	0.34483
10021001879	medium-large	3	0.05613	0.63333
10021099999	medium-large	3	0.06374	0.33333
10024000045	very large	4	0.21918	0.56098
10024000046	medium-large	3	0.10488	0.61765
10024000047	medium-large	3	0.16129	0.5
10024000048	very large	4	0.03039	0.2266
10024000049	very large	4	0.10187	0.25926
10024000050	very large	4	0.14715	0.33333
10024000051	very large	4	0.13692	0.29545
10024000543	very large	4	0.23353	0.37705
10024000546	very large	4	0.10375	0.34286
10024001408	medium-small	2	0.03869	0.48
10024001639	medium-large	3	0.19751	0.41935
10024002159	medium-large	3	0.18363	0.66667
10027000012	medium-small	2	0.12349	0.61905
10027000013	medium-large	3	0.13559	0.33333
10027000023	medium-large	3	0.20638	0.24138
10027000024	very large	4	0.27142	0.12821
10027000056	medium-large	3	0.09459	0.25926
10027000057	medium-large	3	0.15896	0.41176
10027000058	medium-small	2	0.15548	0.04762
10027000059	very large	4	0.14667	0.56098
10027000060	very large	4	0.17771	0.28947
10027000062	medium-large	3	0.16779	0.17647
10027000065	medium-small	2	0.12226	0.5
10027000066	medium-large	3	0.16543	0.37931
10027000067	very large	4	0.07334	0.33333
10027000068	small	1	0.07317	0.14286
10027000069	medium-large	3	0.17391	0.31579
10027000070	medium-small	2	0.17672	0.14286
10027000100	very large	4	0.20588	0.2551
10027000162	very large	4	0.19596	0.39535
10027000549	medium-large	3	0.13445	0.28571
10027000550	very large	4	0.05405	0.28846
10027000625	medium-large	3	0.13082	0.18919
10027000641	very large	4	0.25393	0.36538
10027000648	very large	4	0.14173	0.11111
10027000660	very large	4	0.1097	0.12821
10027001708	medium-large	3	0.1805	0.16667
10027001709	very large	4	0.07895	0.19149
10027001710	very large	4	0.0752	0.09091
10027001711	very large	4	0.10277	0.2
10027001713	medium-large	3	0.17606	0.38095
10027001714	medium-small	2	0.15591	0.48148
10027001715	medium-large	3	0.1567	0.37838
10027001716	very large	4	0.15075	0.21127
10027001759	very large	4	0.19266	0.20635
10027001783	medium-small	2	0.21256	0.22222
10027001784	very large	4	0.31831	0.17308
10027001810	very large	4	0.24209	0.41791
10027001859	medium-large	3	0.18023	0.37037
10027001888	very large	4	0.07801	0.2
10027002072	very large	4	0	0.12903
10027002073	very large	4	0.15219	0.26984
10030000074	medium-small	2	0.41667	0.16901
10030001478	medium-small	2	0.24434	0.21622
10030001557	medium-small	2	0.23188	0.33333
10030001641	medium-small	2	0.22179	0.3125
10033000082	medium-small	2	0.14931	0.22222
10033000084	medium-small	2	0.1083	0.28952
10033000086	very large	4	0.11319	0.30435
10033000087	very large	4	0.44835	0.30909
10033000088	very large	4	0.17209	0.13725
10033000090	medium-small	2	0	0.26087
10033001479	medium-small	2	0.2358	0.45455
10036000092	medium-large	3	0.70667	0
10036000094	medium-large	3	0.13969	0.62282
10036000096	small	1	0.175	0
10036000098	medium-small	2	0.10507	0.58824
10036000099	medium-large	3	0.29143	0
10036001426	medium-large	3	0.19596	0.1
10036001480	medium-small	2	0.2234	0.45914
10036099997	small	1	0	0
10036099999	medium-large	3	0.14854	0.04167
10039000103	medium-large	3	0.22961	0
10039000106	medium-large	3	0.26555	0
10039000107	medium-small	2	0.01064	0.10526
10039000108	medium-small	2	0	0.11538
10039000112	medium-large	3	0.12139	0
10039000113	medium-large	3	0	0.09091
10039000119	medium-small	2	0.00505	0
10039000133	medium-small	2	0.02023	0.05
10039000136	medium-large	3	0.2211	0.16216
10039000139	very large	4	0.00566	0.06977
10039000140	medium-small	2	0.17325	0
10039000141	very large	4	0.00156	0.05263
10039000142	medium-small	2	0.05013	0.10714
10039000150	medium-small	2	0.00545	0.00769
10039000156	medium-small	2	0.39896	0.18182
10039000163	medium-large	3	0.11395	0.54274
10039000164	very large	4	0.2757	0.1194
10039000165	very large	4	0.00452	0.01852
10039000174	medium-small	2	0.0166	0.06345
10039000175	medium-small	2	0.01286	0
10039000176	very large	4	0.15637	0
10039000179	medium-small	2	0.03581	0.09677
10039000184	medium-large	3	0.04744	0.12
