"","School","City","Killed","Wounded"
"Jan 30, 1968","Miami Jackson High School","Miami, FL","1","0"
"Mar 25, 1968","Central High School","High Point, NC","1","0"
"May 22, 1968","Drew Junior High School","Miami, FL","0","2"
"Jan 23, 1969","Cardozo Senior High School","WA, D.C.","1","0"
"May 13, 1969","Hanes Junior High School","Winston-Salem, NC","1","0"
"Nov 19, 1969","Tomah Junior High School","Tomah, WI","1","0"
"Jan 5, 1970","Hine Junior High School","Washington, D.C.","1","1"
"Nov 20, 1970","Harlan High School","Chicago, IL","0","2"
"Feb 2, 1971","Morris E. Leeds School","Philadelphia, PA","1","0"
"Feb 26, 1973","Armstrong High School","Richmond, VA","1","0"
"Jan 17, 1974","Barton Elementary School","Chicago, IL","1","0"
"Mar 22, 1974","Brownstown Central High School","Brownstown, IN","1","0"
"Feb 24, 1975","St. James School","Penns Grove, NJ","1","1"
"Mar 18, 1975","Sumner High School","St. Louis, MO","1","0"
"Sep 11, 1975","Grant High School","OK City, OK","1","5"
"Feb 12, 1976","Murray-Wright High School","Detroit, MI","0","5"
"Nov 10, 1976","Burt Elementary School","Detroit, MI","1","0"
"Apr 7, 1977","Whitharral High School","Whitharral, TX","1","0"
"Jan 11, 1978","Christian County Middle School","Hopkinsville, KY","0","1"
"Feb 9, 1978","Hayes Junior High School","St. Albans, W.Va.","1","0"
"Feb 22, 1978","Everett High School","Lansing, MI","1","1"
"Apr 26, 1978","Paul Dunbar Elementary School","Dallas, TX","1","0"
"May 18, 1978","Murchison Junior High Schoo","Austin, TX","1","0"
"Oct 17, 1978","Lanett Junior High School","Lanett, AL","0","1"
"Oct 17, 1978","University City High School","University City, MO","0","4"
"Jan 29, 1979","Grover Cleveland Elementary School","San Diego, CA","2","9"
"Apr 16, 1979","Wisconsin Lutheran High School","Milwaukee, WI","0","1"
"Sep 28, 1979","Charlestown High School","Charlestown, MA","0","1"
"Jan 7, 1980","Stamps High School","Stamps, AR","1","0"
"Mar 20, 1980","J. Leslie Patton School","Dallas, TX","1","0"
"Oct 31, 1980","Hueytown High School","Hueytown, AL","1","1"
"Mar 19, 1982","Valley High School","Las Vegas, NV","1","2"
"Apr 7, 1982","Deer Creek Junior High School","Littleton, CO","1","0"
"Nov 12, 1982","Wingfield High School","Jackson, MS","2","0"
"Jan 20, 1983","Parkway South Middle School","St. Louis County, MO","2","1"
"Feb 24, 1984","49th Street Elementary School","Los Angeles, CA","2","12"
"Apr 20, 1984","Precious Blood School","Detroit, MI","1","0"
"May 17, 1984","Southeast Polk High School","Pleasant Hill, IA","2","0"
"Jan 21, 1985","Goddard Junior High School","Goddard, KS","1","3"
"Oct 18, 1985","Northwestern and Murray-Wright high school football game","Detroit, MI","0","6"
"Nov 27, 1985","Spanaway Junior High School","Spanaway, WA","3","0"
"Dec 3, 1985","Concord High School","Concord, NH","1","0"
"Dec 10, 1985","Portland Junior High School","Portland, CT","1","1"
"Mar 6, 1986","Thornridge High School","Dolton, IL","0","1"
"Apr 29, 1986","Senath-Hornersville High School","Senath, MO","1","0"
"May 9, 1986","Pine Forest High School","Fayetteville, NC","0","3"
"May 16, 1986","Cokeville Elementary School","Cokeville, WY","2","74"
"Dec 4, 1986","Fergus High School","Lewistown, MT","1","3"
"Mar 2, 1987","Dekalb High School","De Kalb, MO","2","0"
"Apr 16, 1987","Murray-Wright High School","Detroit, MI","1","2"
"Sep 28, 1987","Illiana Christian High School","Lansing, IL","0","1"
"Feb 11, 1988","Park High School","Largo, FL","1","2"
"May 20, 1988","Hubbard Woods School","Winnetka, IL","1","5"
"Jul 10, 1988","Siefert Elementary School","Milwaukee, WI","0","1"
"Sep 26, 1988","Oakland Elementary School","Greenwood, SC","2","9"
"Nov 22, 1988","Cooper High School","Abilene, TX","0","1"
"Dec 16, 1988","Atlantic Shores Christian School ","Virginia Beach, VA","1","1"
"Jan 17, 1989","Cleveland Elementary School","Stockton, CA","6","32"
"Feb 10, 1989","Thomas Jefferson Junior High School","Kearns, UT","0","0"
"Dec 5, 1989","Serra Catholic High School bus","McKeesport, PA","1","1"
"Mar 27, 1990","New Utrecht High School","Brooklyn, NY","0","1"
"Sep 11, 1990","Sam Houston High School","San Antonio, TX","0","3"
"Apr 23, 1991","Ralph J. Bunche Middle School","Compton, CA","1","0"
"Sep 18, 1991","Crosby High School","Crosby, TX","1","0"
"Nov 25, 1991","Thomas Jefferson High School","Brooklyn, NY","1","0"
"Feb 26, 1992","Thomas Jefferson High School","Brooklyn, NY","2","0"
"May 1, 1992","Lindhurst High School","Olivehurst, CA","3","10"
"Oct 19, 1992","Evander Childs High School","Bronx, NY","0","3"
"Nov 4, 1992","Finney High School,  Marcus Garvey Academy, Mumford High School","Detroit, MI","0","11"
"Jan 6, 1993","Brentwood High Schoo","Brentwood, NY","0","1"
"Jan 18, 1993","East Carter High School","Grayson, KY","2","0"
"Feb 22, 1993","Reseda High School","Los Angeles, CA","1","0"
"Apr 15, 1993","Ford Middle School","Acushnet, MA","1","0"
"May 14, 1993","Nimitz High School","Irving, TX","1","0"
