Speaker,Season,Episode,SeriesNumber,EpisodeCount,EpisodeTotal,EpisodePct
Michael,1,1,1,97,262,0.370229008
Michael,1,2,2,103,245,0.420408163
Michael,1,3,3,69,313,0.220447284
Michael,1,4,4,111,354,0.313559322
Michael,1,5,5,135,285,0.473684211
Michael,1,6,6,128,360,0.355555556
Michael,2,1,7,138,381,0.362204724
Michael,2,2,8,112,289,0.387543253
Michael,2,3,9,120,375,0.32
Michael,2,4,10,82,370,0.221621622
Michael,2,5,11,150,325,0.461538462
Michael,2,6,12,102,310,0.329032258
Michael,2,7,13,88,285,0.30877193
Michael,2,8,14,147,401,0.366583541
Michael,2,9,15,131,344,0.380813953
Michael,2,10,16,95,337,0.28189911
Michael,2,11,17,116,286,0.405594406
Michael,2,12,18,146,385,0.379220779
Michael,2,13,19,114,299,0.381270903
Michael,2,14,20,127,324,0.391975309
Michael,2,15,21,88,298,0.295302013
Michael,2,16,22,53,203,0.261083744
Michael,2,17,23,75,252,0.297619048
Michael,2,18,24,85,245,0.346938776
Michael,2,19,25,99,262,0.377862595
Michael,2,20,26,62,277,0.223826715
Michael,2,21,27,95,286,0.332167832
Michael,2,22,28,112,367,0.305177112
Michael,3,1,29,63,171,0.368421053
Michael,3,2,30,123,288,0.427083333
Michael,3,3,31,83,275,0.301818182
Michael,3,4,32,106,290,0.365517241
Michael,3,5,33,44,292,0.150684932
Michael,3,6,34,77,237,0.324894515
Michael,3,7,35,70,240,0.291666667
Michael,3,8,36,153,514,0.29766537
Michael,3,9,37,54,165,0.327272727
Michael,3,10,38,116,468,0.247863248
Michael,3,11,39,100,303,0.330033003
Michael,3,12,40,48,228,0.210526316
Michael,3,13,41,49,190,0.257894737
Michael,3,14,42,77,188,0.409574468
Michael,3,15,43,49,152,0.322368421
Michael,3,16,44,65,220,0.295454545
Michael,3,17,45,85,283,0.300353357
Michael,3,18,46,107,339,0.315634218
Michael,3,19,47,102,360,0.283333333
Michael,3,20,48,68,345,0.197101449
Michael,3,21,49,92,306,0.300653595
Michael,3,22,50,145,339,0.427728614
Michael,3,23,51,123,449,0.273942094
Michael,4,1,52,160,540,0.296296296
Michael,4,2,53,158,585,0.27008547
Michael,4,3,54,156,552,0.282608696
Michael,4,4,55,159,505,0.314851485
Michael,4,5,56,93,258,0.360465116
Michael,4,6,57,93,294,0.316326531
Michael,4,7,58,82,273,0.3003663
Michael,4,8,59,89,251,0.354581673
Michael,4,9,60,101,316,0.319620253
Michael,4,10,61,101,254,0.397637795
Michael,4,11,62,104,335,0.310447761
Michael,4,12,63,99,308,0.321428571
Michael,4,13,64,77,191,0.403141361
Michael,4,14,65,167,607,0.275123558
Michael,5,1,66,130,551,0.235934664
Michael,5,2,67,65,256,0.25390625
Michael,5,3,68,83,311,0.266881029
Michael,5,4,69,96,290,0.331034483
Michael,5,5,70,107,430,0.248837209
Michael,5,6,71,73,400,0.1825
Michael,5,7,72,77,287,0.268292683
Michael,5,8,73,90,262,0.34351145
Michael,5,9,74,100,304,0.328947368
Michael,5,10,75,65,234,0.277777778
Michael,5,11,76,52,281,0.185053381
Michael,5,12,77,91,223,0.408071749
Michael,5,13,78,119,374,0.318181818
Michael,5,14,79,55,200,0.275
Michael,5,15,80,50,236,0.211864407
Michael,5,16,81,88,250,0.352
Michael,5,17,82,113,282,0.40070922
Michael,5,18,83,104,206,0.504854369
Michael,5,19,84,88,231,0.380952381
Michael,5,20,85,78,244,0.319672131
Michael,5,21,86,46,232,0.198275862
Michael,5,22,87,96,274,0.350364964
Michael,5,23,88,76,199,0.381909548
Michael,5,24,89,95,319,0.297805643
Michael,5,25,90,85,276,0.307971014
Michael,5,26,91,55,218,0.252293578
Michael,6,1,92,98,313,0.313099042
Michael,6,2,93,72,231,0.311688312
Michael,6,3,94,86,297,0.28956229
Michael,6,4,95,130,481,0.27027027
Michael,6,5,96,122,306,0.39869281
Michael,6,6,97,85,314,0.270700637
Michael,6,7,98,85,305,0.278688525
Michael,6,8,99,114,328,0.347560976
Michael,6,9,100,67,239,0.280334728
Michael,6,10,101,71,218,0.325688073
Michael,6,11,102,69,224,0.308035714
Michael,6,12,103,95,302,0.314569536
Michael,6,13,104,44,91,0.483516484
Michael,6,14,105,82,195,0.420512821
Michael,6,15,106,69,249,0.277108434
Michael,6,16,107,118,574,0.205574913
Michael,6,17,108,52,202,0.257425743
Michael,6,18,109,85,280,0.303571429
Michael,6,19,110,74,295,0.250847458
Michael,6,20,111,46,260,0.176923077
Michael,6,21,112,87,286,0.304195804
Michael,6,22,113,92,267,0.344569288
Michael,6,23,114,82,297,0.276094276
Michael,6,24,115,67,184,0.364130435
Michael,7,1,116,58,211,0.274881517
Michael,7,2,117,31,252,0.123015873
Michael,7,3,118,43,203,0.21182266
Michael,7,4,119,88,274,0.321167883
Michael,7,5,120,85,341,0.249266862
Michael,7,6,121,59,250,0.236
Michael,7,7,122,76,236,0.322033898
Michael,7,8,123,56,268,0.208955224
Michael,7,9,124,67,273,0.245421245
Michael,7,10,125,56,289,0.193771626
Michael,7,11,126,130,552,0.235507246
Michael,7,12,127,82,307,0.267100977
Michael,7,13,128,37,249,0.148594378
Michael,7,14,129,42,282,0.14893617
Michael,7,15,130,73,350,0.208571429
Michael,7,16,131,33,70,0.471428571
Michael,7,17,132,57,271,0.210332103
Michael,7,18,133,72,288,0.25
Michael,7,19,134,70,160,0.4375
Michael,7,20,135,83,195,0.425641026
Michael,7,21,136,116,298,0.389261745
Michael,7,22,137,0,166,0
Michael,7,23,138,0,239,0
Michael,7,24,139,0,435,0
Michael,8,1,140,0,270,0
Michael,8,2,141,0,306,0
Michael,8,3,142,0,308,0
Michael,8,4,143,0,230,0
Michael,8,5,144,0,270,0
Michael,8,6,145,0,312,0
Michael,8,7,146,0,300,0
Michael,8,8,147,0,266,0
Michael,8,9,148,0,248,0
Michael,8,10,149,0,313,0
Michael,8,11,150,0,224,0
Michael,8,12,151,0,285,0
Michael,8,13,152,0,342,0
Michael,8,14,153,0,260,0
Michael,8,15,154,0,211,0
Michael,8,16,155,0,278,0
Michael,8,17,156,0,226,0
Michael,8,18,157,0,246,0
Michael,8,19,158,0,238,0
Michael,8,20,159,0,250,0
Michael,8,21,160,0,289,0
Michael,8,22,161,0,213,0
Michael,8,23,162,0,239,0
Michael,8,24,163,0,241,0
Michael,9,1,164,0,220,0
Michael,9,2,165,0,293,0
Michael,9,3,166,0,242,0
Michael,9,4,167,0,302,0
Michael,9,5,168,0,240,0
Michael,9,6,169,0,255,0
Michael,9,7,170,0,263,0
Michael,9,8,171,0,282,0
Michael,9,9,172,0,287,0
Michael,9,10,173,0,225,0
Michael,9,11,174,0,228,0
Michael,9,12,175,0,249,0
Michael,9,13,176,0,210,0
Michael,9,14,177,0,221,0
Michael,9,15,178,0,235,0
Michael,9,16,179,0,423,0
