chart	subchart	level	group	number	pct
2-2	1	Level 1	Subgroup 1	820970	0.839702397
2-2	1	Level 2	Subgroup 1	678401	0.776831831
2-2	1	Level 3	Subgroup 1	926753	0.665224372
2-2	1	Level 4	Subgroup 1	881888	0.534702188
2-2	1	Overall	Subgroup 1	993878	0.059330843
2-2	1	Level 1	Subgroup 2	931943	0.842205587
2-2	1	Level 2	Subgroup 2	713095	0.049963116
2-2	1	Level 3	Subgroup 2	337967	0.888342515
2-2	1	Level 4	Subgroup 2	139451	0.45012704
2-2	1	Overall	Subgroup 2	419656	0.460785255
2-2	1	Level 1	Subgroup 3	7759	0.432578819
2-2	1	Level 2	Subgroup 3	645651	0.86420566
2-2	1	Level 3	Subgroup 3	755390	0.611849052
2-2	1	Level 4	Subgroup 3	32205	0.021122152
2-2	1	Overall	Subgroup 3	563502	0.605943429
2-2	1	Level 1	Subgroup 4	580203	0.938752615
2-2	1	Level 2	Subgroup 4	794667	0.24187193
2-2	1	Level 3	Subgroup 4	846174	0.035715484
2-2	1	Level 4	Subgroup 4	543503	0.32333045
2-2	1	Overall	Subgroup 4	896599	0.566151255
2-2	1	Level 1	Subgroup 5	744335	0.190063415
2-2	1	Level 2	Subgroup 5	81723	0.461783402
2-2	1	Level 3	Subgroup 5	127155	0.977814295
2-2	1	Level 4	Subgroup 5	232259	0.683017493
2-2	1	Overall	Subgroup 5	694416	0.708034414
2-2	1	Level 1	Subgroup 6	598097	0.105818417
2-2	1	Level 2	Subgroup 6	718738	0.29582443
2-2	1	Level 3	Subgroup 6	432126	0.162272626
2-2	1	Level 4	Subgroup 6	434469	0.556862424
2-2	1	Overall	Subgroup 6	413750	0.979397853
2-2	1	Level 1	Subgroup 7	342279	0.056967297
2-2	1	Level 2	Subgroup 7	824723	0.56952273
2-2	1	Level 3	Subgroup 7	539359	0.416618752
2-2	1	Level 4	Subgroup 7	233564	0.818487524
2-2	1	Overall	Subgroup 7	375309	0.399979887
2-2	2	Level 1	Subgroup 8	380703	0.689395297
2-2	2	Level 2	Subgroup 8	669082	0.023091195
2-2	2	Level 3	Subgroup 8	533030	0.098070086
2-2	2	Level 4	Subgroup 8	124262	0.060447502
2-2	2	Overall	Subgroup 8	441973	0.586477198
2-2	2	Level 1	Subgroup 9	243676	0.230527639
2-2	2	Level 2	Subgroup 9	540315	0.910948284
2-2	2	Level 3	Subgroup 9	303341	0.324331889
2-2	2	Level 4	Subgroup 9	953858	0.726576274
2-2	2	Overall	Subgroup 9	966070	0.21468939
2-2	3	Level 1	Subgroup 10	607540	0.511082406
2-2	3	Level 2	Subgroup 10	912977	0.773347469
2-2	3	Level 3	Subgroup 10	868237	0.205445065
2-2	3	Level 4	Subgroup 10	414656	0.453370515
2-2	3	Overall	Subgroup 10	223591	0.209949843
2-2	3	Level 1	Subgroup 11	907382	0.201772341
2-2	3	Level 2	Subgroup 11	583923	0.151791898
2-2	3	Level 3	Subgroup 11	264608	0.096068915
2-2	3	Level 4	Subgroup 11	572192	0.412086363
2-2	3	Overall	Subgroup 11	571700	0.238134267
2-2	4	Level 1	Subgroup 12	420638	0.654231692
2-2	4	Level 2	Subgroup 12	246963	0.111854762
2-2	4	Level 3	Subgroup 12	13809	0.484983201
2-2	4	Level 4	Subgroup 12	516886	0.577397701
2-2	4	Overall	Subgroup 12	546060	0.580877837
2-2	4	Level 1	Subgroup 13	43832	0.22914562
2-2	4	Level 2	Subgroup 13	470525	0.634399324
2-2	4	Level 3	Subgroup 13	485250	0.864778593
2-2	4	Level 4	Subgroup 13	203954	0.637594832
2-2	4	Overall	Subgroup 13	137460	0.97867142
