School Year,State,Exit Code,Disability,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 14 to 21 total,Hispanic/Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more races,Male,Female,Limited English proficiency,Non-limited English proficiency
2013-2014,ALABAMA,Died,All Disabilities,4,2,3,3,3,0,2,1,18,0,0,x,6,x,12,0,11,7,0,18
2013-2014,ALABAMA,Dropped out,All Disabilities,-,-,84,180,161,64,9,2,500,10,3,x,188,x,295,2,332,168,9,491
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,All Disabilities,0,0,8,1319,2073,425,203,27,4055,93,37,x,1883,x,2004,24,2615,1440,78,3977
2013-2014,ALABAMA,Graduated with regular high school diploma,All Disabilities,-,-,7,1214,1905,331,56,4,3517,82,34,x,1581,x,1791,20,2259,1258,66,3451
2013-2014,ALABAMA,"Moved, known to be continuing",All Disabilities,496,561,579,417,201,59,32,10,2355,61,11,x,960,x,1296,21,1589,766,37,2318
2013-2014,ALABAMA,Reached maximum age,All Disabilities,-,-,-,-,-,-,64,16,80,1,0,x,29,x,50,0,52,28,1,79
2013-2014,ALABAMA,Received a certificate,All Disabilities,0,0,1,105,168,94,147,23,538,11,3,x,302,x,213,4,356,182,12,526
2013-2014,ALABAMA,Total exiting school,All Disabilities,4,2,95,1502,2237,489,278,46,4653,104,40,x,2106,x,2361,26,3010,1643,88,4565
2013-2014,ALABAMA,Total exiting special education,All Disabilities,640,677,769,1982,2468,569,346,64,7515,177,55,x,3256,x,3955,49,4956,2559,138,7377
2013-2014,ALABAMA,Transferred to regular education,All Disabilities,140,114,95,63,30,21,36,8,507,12,4,x,190,x,298,2,357,150,13,494
2013-2014,ALABAMA,Died,Autism,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Dropped out,Autism,-,-,2,5,1,1,1,0,10,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,Autism,0,0,0,76,77,15,35,2,205,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with regular high school diploma,Autism,-,-,0,71,65,8,3,0,147,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,"Moved, known to be continuing",Autism,22,14,17,17,1,4,2,0,77,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Reached maximum age,Autism,-,-,-,-,-,-,14,5,19,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Received a certificate,Autism,0,0,0,5,12,7,32,2,58,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting school,Autism,0,0,2,81,78,16,50,7,234,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting special education,Autism,23,18,21,99,79,20,52,7,319,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Transferred to regular education,Autism,1,4,2,1,0,0,0,0,8,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Died,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Dropped out,Deaf-blindness,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with regular high school diploma,Deaf-blindness,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,"Moved, known to be continuing",Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Reached maximum age,Deaf-blindness,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Received a certificate,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting school,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting special education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Transferred to regular education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Died,Emotional disturbance,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Dropped out,Emotional disturbance,-,-,4,9,4,2,1,0,20,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,Emotional disturbance,0,0,0,21,26,5,0,0,52,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with regular high school diploma,Emotional disturbance,-,-,0,19,25,4,0,0,48,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,"Moved, known to be continuing",Emotional disturbance,46,50,54,38,21,5,2,1,217,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Reached maximum age,Emotional disturbance,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Received a certificate,Emotional disturbance,0,0,0,2,1,1,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting school,Emotional disturbance,0,0,4,30,30,7,1,0,72,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting special education,Emotional disturbance,54,52,66,71,52,14,8,2,319,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Transferred to regular education,Emotional disturbance,8,2,8,3,1,2,5,1,30,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Died,Hearing impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Dropped out,Hearing impairment,-,-,1,1,0,1,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,Hearing impairment,0,0,0,17,35,8,8,0,68,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with regular high school diploma,Hearing impairment,-,-,0,16,33,3,5,0,57,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,"Moved, known to be continuing",Hearing impairment,5,3,9,2,3,0,0,0,22,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Reached maximum age,Hearing impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Received a certificate,Hearing impairment,0,0,0,1,2,5,3,0,11,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting school,Hearing impairment,0,0,1,18,35,9,8,0,71,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting special education,Hearing impairment,5,3,11,21,38,9,8,0,95,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Transferred to regular education,Hearing impairment,0,0,1,1,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Died,Intellectual disability,0,0,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Dropped out,Intellectual disability,-,-,6,4,13,3,1,0,27,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,Intellectual disability,0,0,2,92,188,53,60,12,407,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with regular high school diploma,Intellectual disability,-,-,1,44,135,22,12,1,215,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,"Moved, known to be continuing",Intellectual disability,36,54,55,36,27,1,7,0,216,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Reached maximum age,Intellectual disability,-,-,-,-,-,-,25,7,32,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Received a certificate,Intellectual disability,0,0,1,48,53,31,48,11,192,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting school,Intellectual disability,0,0,8,96,202,56,86,19,467,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting special education,Intellectual disability,36,55,64,134,229,58,93,19,688,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Transferred to regular education,Intellectual disability,0,1,1,2,0,1,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Died,Multiple disabilities,0,0,1,1,0,0,2,1,5,-,-,-,-,-,-,-,-,-,-,-
