District,Chart,Instrument,Var_name,Variable,Section,Link_to_District,Type,Matrix_prompt,Item_text,Value,ResponseCategory,SubPopVar,SubPopVal,UnweightedCnt,Item_N,Flag_Row,Flag_Item,WeightedCntEstimate,WeightedCntSTDError,WeightedCntCILowerBound,WeightedCntCIUpperBound,WeightedPctEstimate,WeightedPctSTDError,WeightedPctCILowerBound,WeightedPctCIUpperBound,WeightedMean,WeightedMeanSE,WeightedMeanCILowerBound,WeightedMeanCIUpperBound,WeightedMedian
Boston,i1,Principal,i1_K,i_Page_i1_i101,DEMOGRAPHICS,i1_K,Yes/No,What grade levels does your school serve?,Kindergarten,0,No,District Name,Boston,7,37,N,N,18.95,5.62,7.7,30.2,18.92,5.27,10.62,31.42,,,,,
Boston,i1,Principal,i1_K,i_Page_i1_i101,DEMOGRAPHICS,i1_K,Yes/No,What grade levels does your school serve?,Kindergarten,1,Yes,District Name,Boston,30,37,N,N,81.21,8.68,63.86,98.57,81.08,5.27,68.58,89.38,,,,,
Boston,i1,Principal,i1_K,i_Page_i1_i101,DEMOGRAPHICS,i1_K,Yes/No,What grade levels does your school serve?,Kindergarten,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_K,i_Page_i1_i101,DEMOGRAPHICS,i1_K,Yes/No,What grade levels does your school serve?,Kindergarten,,,District Name,Boston,,37,N,N,,,,,,,,,0.81,0.05,0.71,0.92,1
Boston,i1,Principal,i1_g01,i_Page_i1_i102,DEMOGRAPHICS,i1_g01,Yes/No,What grade levels does your school serve?,Grade 1,0,No,District Name,Boston,7,37,N,N,18.95,5.62,7.7,30.2,18.92,5.27,10.62,31.42,,,,,
Boston,i1,Principal,i1_g01,i_Page_i1_i102,DEMOGRAPHICS,i1_g01,Yes/No,What grade levels does your school serve?,Grade 1,1,Yes,District Name,Boston,30,37,N,N,81.21,8.68,63.86,98.57,81.08,5.27,68.58,89.38,,,,,
Boston,i1,Principal,i1_g01,i_Page_i1_i102,DEMOGRAPHICS,i1_g01,Yes/No,What grade levels does your school serve?,Grade 1,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g01,i_Page_i1_i102,DEMOGRAPHICS,i1_g01,Yes/No,What grade levels does your school serve?,Grade 1,,,District Name,Boston,,37,N,N,,,,,,,,,0.81,0.05,0.71,0.92,1
Boston,i1,Principal,i1_g02,i_Page_i1_i103,DEMOGRAPHICS,i1_g02,Yes/No,What grade levels does your school serve?,Grade 2,0,No,District Name,Boston,9,37,N,N,24.36,6.53,11.3,37.43,24.32,5.91,14.6,37.67,,,,,
Boston,i1,Principal,i1_g02,i_Page_i1_i103,DEMOGRAPHICS,i1_g02,Yes/No,What grade levels does your school serve?,Grade 2,1,Yes,District Name,Boston,28,37,N,N,75.8,8.39,59.02,92.57,75.68,5.91,62.33,85.4,,,,,
Boston,i1,Principal,i1_g02,i_Page_i1_i103,DEMOGRAPHICS,i1_g02,Yes/No,What grade levels does your school serve?,Grade 2,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g02,i_Page_i1_i103,DEMOGRAPHICS,i1_g02,Yes/No,What grade levels does your school serve?,Grade 2,,,District Name,Boston,,37,N,N,,,,,,,,,0.76,0.06,0.64,0.87,1
Boston,i1,Principal,i1_g03,i_Page_i1_i104,DEMOGRAPHICS,i1_g03,Yes/No,What grade levels does your school serve?,Grade 3,0,No,District Name,Boston,9,37,N,N,24.36,6.53,11.3,37.43,24.32,5.91,14.6,37.67,,,,,
Boston,i1,Principal,i1_g03,i_Page_i1_i104,DEMOGRAPHICS,i1_g03,Yes/No,What grade levels does your school serve?,Grade 3,1,Yes,District Name,Boston,28,37,N,N,75.8,8.39,59.02,92.57,75.68,5.91,62.33,85.4,,,,,
Boston,i1,Principal,i1_g03,i_Page_i1_i104,DEMOGRAPHICS,i1_g03,Yes/No,What grade levels does your school serve?,Grade 3,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g03,i_Page_i1_i104,DEMOGRAPHICS,i1_g03,Yes/No,What grade levels does your school serve?,Grade 3,,,District Name,Boston,,37,N,N,,,,,,,,,0.76,0.06,0.64,0.87,1
Boston,i1,Principal,i1_g04,i_Page_i1_i105,DEMOGRAPHICS,i1_g04,Yes/No,What grade levels does your school serve?,Grade 4,0,No,District Name,Boston,10,37,N,N,27.07,6.84,13.38,40.76,27.03,6.1,16.76,40.52,,,,,
Boston,i1,Principal,i1_g04,i_Page_i1_i105,DEMOGRAPHICS,i1_g04,Yes/No,What grade levels does your school serve?,Grade 4,1,Yes,District Name,Boston,27,37,N,N,73.09,8.28,56.52,89.66,72.97,6.1,59.48,83.24,,,,,
Boston,i1,Principal,i1_g04,i_Page_i1_i105,DEMOGRAPHICS,i1_g04,Yes/No,What grade levels does your school serve?,Grade 4,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g04,i_Page_i1_i105,DEMOGRAPHICS,i1_g04,Yes/No,What grade levels does your school serve?,Grade 4,,,District Name,Boston,,37,N,N,,,,,,,,,0.73,0.06,0.61,0.85,1
Boston,i1,Principal,i1_g05,i_Page_i1_i106,DEMOGRAPHICS,i1_g05,Yes/No,What grade levels does your school serve?,Grade 5,0,No,District Name,Boston,10,37,N,N,27.07,6.84,13.38,40.76,27.03,6.1,16.76,40.52,,,,,
Boston,i1,Principal,i1_g05,i_Page_i1_i106,DEMOGRAPHICS,i1_g05,Yes/No,What grade levels does your school serve?,Grade 5,1,Yes,District Name,Boston,27,37,N,N,73.09,8.28,56.52,89.66,72.97,6.1,59.48,83.24,,,,,
Boston,i1,Principal,i1_g05,i_Page_i1_i106,DEMOGRAPHICS,i1_g05,Yes/No,What grade levels does your school serve?,Grade 5,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g05,i_Page_i1_i106,DEMOGRAPHICS,i1_g05,Yes/No,What grade levels does your school serve?,Grade 5,,,District Name,Boston,,37,N,N,,,,,,,,,0.73,0.06,0.61,0.85,1
Boston,i1,Principal,i1_g06,i_Page_i1_i107,DEMOGRAPHICS,i1_g06,Yes/No,What grade levels does your school serve?,Grade 6,0,No,District Name,Boston,24,37,N,N,64.97,8.75,47.48,82.46,64.86,5.77,52.79,75.29,,,,,
Boston,i1,Principal,i1_g06,i_Page_i1_i107,DEMOGRAPHICS,i1_g06,Yes/No,What grade levels does your school serve?,Grade 6,1,Yes,District Name,Boston,13,37,N,N,35.19,6.15,22.9,47.49,35.14,5.77,24.71,47.21,,,,,
Boston,i1,Principal,i1_g06,i_Page_i1_i107,DEMOGRAPHICS,i1_g06,Yes/No,What grade levels does your school serve?,Grade 6,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g06,i_Page_i1_i107,DEMOGRAPHICS,i1_g06,Yes/No,What grade levels does your school serve?,Grade 6,,,District Name,Boston,,37,N,N,,,,,,,,,0.35,0.06,0.24,0.47,0
Boston,i1,Principal,i1_g07,i_Page_i1_i108,DEMOGRAPHICS,i1_g07,Yes/No,What grade levels does your school serve?,Grade 7,0,No,District Name,Boston,24,37,N,N,64.97,8.75,47.48,82.46,64.86,5.77,52.79,75.29,,,,,
Boston,i1,Principal,i1_g07,i_Page_i1_i108,DEMOGRAPHICS,i1_g07,Yes/No,What grade levels does your school serve?,Grade 7,1,Yes,District Name,Boston,13,37,N,N,35.19,6.15,22.9,47.49,35.14,5.77,24.71,47.21,,,,,
Boston,i1,Principal,i1_g07,i_Page_i1_i108,DEMOGRAPHICS,i1_g07,Yes/No,What grade levels does your school serve?,Grade 7,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g07,i_Page_i1_i108,DEMOGRAPHICS,i1_g07,Yes/No,What grade levels does your school serve?,Grade 7,,,District Name,Boston,,37,N,N,,,,,,,,,0.35,0.06,0.24,0.47,0
