chart_id	district_type	category	value
sec2_1	Significant	One language group	0.04
sec2_1	Significant	Two to five	0.18
sec2_1	Significant	Six to ten	0.12
sec2_1	Significant	More than 10	0.66
sec2_1	Moderate	One language group	0.07
sec2_1	Moderate	Two to five	0.33
sec2_1	Moderate	Six to ten	0.15
sec2_1	Moderate	More than 10	0.46
sec2_1	Low	One language group	0.29
sec2_1	Low	Two to five	0.52
sec2_1	Low	Six to ten	0.1
sec2_1	Low	More than 10	0.09
sec2_2a	Significant	Spanish	0.94
sec2_2a	Significant	Other languages	0.06
sec2_2b	Moderate	Spanish	0.85
sec2_2b	Moderate	Other languages	0.15
sec2_2c	Low	Spanish	0.72
sec2_2c	Low	Other languages	0.28
